filename,sex,reference_image,sample_area_cm2,bone_area_cm2,total_weight_g,soft_weight_g,lean_weight_g,fat_weight_g,fat_percent,BMC_g,BMD_mg_per_cm2
B8M0.txt,Male,B8M0,32.398,9.082,34.8332,34.2006,25.3143,8.8863,25.983,0.63268,69.66
B8M1.txt,Male,B8M1,31.003,7.825,34.3067,33.79,26.8146,6.9754,20.643,0.51672,66.032
B8M2.txt,Male,B8M2,35.079,9.292,38.7894,38.1942,23.3746,14.8196,38.801,0.59517,64.05
B8M3.txt,Male,B8M3,27.402,7.496,28.0828,27.6151,19.8172,7.7980,28.238,0.46764,62.383
B8M4.txt,Male,B8M4,27.802,8.608,28.4824,27.8666,20.3151,7.5515,27.099,0.61585,71.548
B8M5.txt,Male,B8M5,28.831,8.034,29.3442,28.8112,20.0824,8.7288,30.297,0.53303,66.35
B8F0.txt,Female,B8F0,30.514,9.659,30.1544,29.5046,16.9172,12.5873,42.662,0.64984,67.276
B8F1.txt,Female,B8F1,32.262,9.754,33.4909,32.8118,19.1544,13.6573,41.623,0.67914,69.626
B8F2.txt,Female,B8F2,24.608,8.177,20.7063,20.1771,14.2245,5.9526,29.502,0.52917,64.717
B8F3.txt,Female,B8F3,31.877,10.085,33.9274,33.3042,16.1373,17.1670,51.546,0.62315,61.787
