Sample_ID,Patient_ID,Patient,WBC_103uL,Neu__103uL,Lym__103uL,Mon__103uL,Eos__103uL,Bas__103uL,Neu__,Lym__,Mon__,Eos__,Bas__,RBC_106uL,HGB_gdL,HCT_,MCV_fL,MCH_pg,MCHC_gdL,RDWCV_,PLT_103uL,MPV_fL,Species,Sample_State,Owner_Last_Name,Mode,Date,Time,Gender,Age,Ref_Group,Draw_Date,Draw_Time,Delivery_Date,Delivery_Time,Veterinarian,Operator,Comments,WBC_Message,RBC_Message,PLT_Message,Unnamed_42
5410.0,0.0,0.0,,2.5,,0.66,0.34,0.11,18.7,73.1,4.9,2.5,0.8,8.91,14.6,43.8,49.2,16.3,33.2,14.9,888.0,4.8,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:27,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5409.0,0.0,0.0,,1.41,,0.5,0.18,0.06,12.7,80.7,4.4,1.6,0.6,8.71,14.0,42.9,49.2,16.1,32.7,15.5,1074.0,4.7,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:25,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Unknown,Unknown,Unknown,0.0
5408.0,0.0,0.0,,2.46,,0.84,0.22,0.09,19.3,71.7,6.6,1.7,0.7,8.18,13.6,41.8,51.1,16.6,32.5,16.3,1049.0,4.7,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:24,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5407.0,0.0,0.0,,3.31,,0.41,0.13,0.09,24.5,70.8,3.1,1.0,0.6,9.04,14.4,44.7,49.5,16.0,32.3,14.3,1110.0,4.6,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:23,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5406.0,0.0,0.0,,,,,0.36,0.11,20.6,69.5,7.7,1.7,0.5,8.18,13.1,41.1,50.3,16.1,32.0,17.1,986.0,4.8,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:22,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,"Leukocytosis
Lymphocytosis",Unknown,Unknown,0.0
5405.0,0.0,0.0,,3.23,,0.94,0.18,,19.7,72.7,5.7,1.0,0.9,8.87,14.4,44.4,50.1,16.2,32.4,17.1,1061.0,5.0,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:20,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,"Leukocytosis
Lymphocytosis",Unknown,Unknown,0.0
5405.0,0.0,0.0,,,,,0.0,0.0,20.9,71.3,3.7,3.6,0.5,,,,,,,,,5.1,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:19,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,"Leukopenia
Neutropenia
Lymphopenia",Anemia,Thrombocytopenia,0.0
5404.0,0.0,0.0,,2.56,8.89,1.17,0.3,0.07,19.7,68.4,9.1,2.3,0.5,8.3,13.4,40.7,49.0,16.1,32.8,,834.0,4.8,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:18,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5403.0,0.0,0.0,,2.03,,0.52,0.12,0.05,16.5,78.0,4.2,0.9,0.4,8.49,14.1,43.7,51.5,16.6,32.3,14.7,1278.0,4.8,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:17,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Unknown,Unknown,Unknown,0.0
5402.0,0.0,0.0,,3.46,,0.63,0.21,0.07,21.5,72.9,3.9,1.3,0.4,8.56,14.4,43.7,51.0,16.9,33.1,14.2,1027.0,4.9,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:15,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,"Leukocytosis
Lymphocytosis",Unknown,Unknown,0.0
5244.0,0.0,0.0,9.85,1.38,7.96,0.34,0.12,0.05,14.0,80.8,3.4,1.2,0.6,9.79,15.9,46.8,47.8,16.3,34.0,13.2,1038.0,5.0,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:14,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Unknown,Unknown,Unknown,0.0
5243.0,0.0,0.0,,2.0,,0.52,0.18,0.08,14.6,79.8,3.7,1.3,0.6,9.46,15.4,45.8,48.5,16.2,33.5,15.2,1086.0,4.8,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:13,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5242.0,0.0,0.0,,2.4,,0.51,0.24,0.07,16.3,78.1,3.5,1.6,0.5,9.67,15.7,47.1,48.7,16.2,33.3,13.6,1025.0,4.9,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:12,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,"Leukocytosis
Lymphocytosis",Unknown,Unknown,0.0
5241.0,0.0,0.0,,1.8,,0.38,0.06,0.04,14.9,81.1,3.2,0.5,0.3,10.0,15.8,47.9,47.9,15.8,33.0,14.4,1130.0,4.9,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:10,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Unknown,Unknown,Unknown,0.0
5240.0,0.0,0.0,,1.91,,0.46,0.18,0.05,16.0,78.2,3.9,1.5,0.4,9.98,15.8,46.1,46.2,15.9,34.4,13.6,835.0,5.2,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:09,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Unknown,Unknown,Unknown,0.0
5239.0,0.0,0.0,,2.29,,0.6,0.11,0.04,16.3,78.3,4.3,0.8,0.3,9.7,15.3,45.6,47.0,15.8,33.6,12.8,1228.0,4.7,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:08,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
5238.0,0.0,0.0,,2.14,,0.74,0.22,0.07,15.3,77.4,5.2,1.6,0.5,9.35,14.7,43.9,47.0,15.7,33.5,13.4,1005.0,4.9,Mouse,Printed,0.0,Whole Blood,04-01-2025,10:07,0.0,0.0,Mouse Default,0.0,0.0,0.0,0.0,0.0,Schuettpelz,0.0,Leukocytosis,Unknown,Unknown,0.0
