"batch","sex","filename","inside_sample_area","whole_sample_area","inside_bone_area","whole_bone_area","inside_total_weight","whole_total_weight","inside_soft_weight","whole_soft_weight","inside_lean_weight","whole_lean_weight","inside_fat_weight","whole_fat_weight","inside_fat_percent","whole_fat_percent","inside_BMC","whole_BMC","inside_BMD","whole_BMD"
"Batch 1","","B1_M_2 Week 1 Redo.txt","23.071","33.309","10.238","12.859","23.7617","34.4093","22.9142","33.2978","13.8447","19.5697","9.0695","13.7281","39.580","41.228","0.84753","1.11155","82.785","86.440"
"Batch 5","Female","B8F0.txt","27.763","29.213","8.308","9.220","27.1631","29.1435","26.6088","28.4370","18.2298","19.1049","8.3790","9.3321","31.490","32.817","0.55424","0.70652","66.709","76.631"
"Batch 5","Female","B8F1.txt","30.863","33.204","10.129","11.422","32.6958","35.5124","31.9871","34.6062","19.8387","20.9668","12.1484","13.6394","37.979","39.413","0.70874","0.90617","69.969","79.335"
"Batch 5","Female","B8F2.txt","24.485","26.061","8.425","9.406","21.1156","23.1137","20.5547","22.4323","14.3057","15.3662","6.2490","7.0661","30.402","31.499","0.56086","0.68144","66.570","72.451"
"Batch 5","Female","B8F3.txt","30.677","33.006","9.494","10.735","33.3120","36.0837","32.7145","35.3156","16.6685","17.6179","16.0460","17.6976","49.049","50.113","0.59750","0.76811","62.931","71.551"
"Batch 5","Male","B8M0.txt","28.117","29.902","8.452","9.260","28.8994","31.2029","28.3156","30.4992","22.2282","23.7347","6.0874","6.7645","21.498","22.179","0.58385","0.70373","69.076","76.000"
"Batch 5","Male","B8M1.txt","30.551","33.163","8.286","9.522","33.7242","37.1166","33.1737","36.4193","25.9647","28.3131","7.2090","8.1062","21.731","22.258","0.55050","0.69736","66.433","73.234"
"Batch 5","Male","B8M2.txt","31.493","34.233","9.267","10.322","36.8304","39.5304","36.2481","38.8219","22.4274","23.6475","13.8207","15.1744","38.128","39.087","0.58231","0.70852","62.840","68.639"
"Batch 5","Male","B8M3.txt","26.865","29.677","7.392","8.704","26.5886","29.5126","26.0979","28.8302","18.5441","20.0461","7.5538","8.7841","28.944","30.468","0.49075","0.68233","66.387","78.396"
"Batch 5","Male","B8M4.txt","27.700","30.295","8.358","9.777","28.4284","31.6898","27.8422","30.8967","21.4371","23.2638","6.4050","7.6329","23.005","24.705","0.58624","0.79303","70.141","81.115"
"Batch 5","Male","B8M5.txt","27.040","29.643","7.589","8.637","26.9360","29.4516","26.4510","28.8232","19.3388","20.9549","7.1122","7.8683","26.888","27.299","0.48500","0.62845","63.906","72.760"
