batch,sex,filename,inside_sample_area,whole_sample_area,inside_bone_area,whole_bone_area,inside_total_weight,whole_total_weight,inside_soft_weight,whole_soft_weight,inside_lean_weight,whole_lean_weight,inside_fat_weight,whole_fat_weight,inside_fat_percent,whole_fat_percent,inside_BMC,whole_BMC,inside_BMD,whole_BMD
Batch 5,Female,B8F0.txt,25.828,31.673,9.075,14.010,24.9138,30.4224,24.2357,28.4632,17.6253,20.1999,6.6104,8.2632,27.275,29.031,0.67809,1.95926,74.718,139.850
Batch 5,Female,B8F1.txt,31.371,33.155,10.550,11.359,32.9969,34.7588,32.0825,33.7371,19.5828,20.2492,12.4997,13.4879,38.961,39.979,0.91440,1.02168,86.669,89.948
Batch 5,Female,B8F2.txt,23.527,24.435,8.527,9.104,21.0758,22.1851,20.4012,21.4340,14.4920,15.1355,5.9092,6.2985,28.965,29.386,0.67468,0.75109,79.124,82.497
Batch 5,Female,B8F3.txt,30.296,31.827,9.001,9.771,30.4451,32.0830,29.8935,31.4553,17.7346,18.4249,12.1589,13.0304,40.674,41.425,0.55158,0.62763,61.280,64.231
Batch 5,Male,B8M0.txt,29.029,31.047,9.193,10.346,30.6655,33.4972,29.9543,32.5690,22.6942,23.9523,7.2601,8.6167,24.237,26.457,0.71120,0.92814,77.366,89.711
Batch 5,Male,B8M1.txt,30.196,32.083,9.308,10.404,32.6571,35.2326,32.0104,34.4061,25.3349,26.5701,6.6755,7.8360,20.854,22.775,0.64675,0.82652,69.486,79.441
Batch 5,Male,B8M2.txt,31.178,32.603,8.830,9.360,31.5192,33.0357,30.9635,32.4313,21.8849,22.8053,9.0787,9.6260,29.321,29.681,0.55567,0.60432,62.930,64.567
Batch 5,Male,B8M3.txt,26.767,28.816,7.461,8.619,25.9190,28.7023,25.4087,28.0111,18.5563,20.2088,6.8524,7.8023,26.969,27.854,0.51032,0.69121,68.400,80.196
Batch 5,Male,B8M4.txt,26.681,28.175,8.245,8.879,27.6430,29.2476,27.0417,28.5843,20.2951,21.1889,6.7467,7.3954,24.949,25.872,0.60125,0.66334,72.920,74.711
Batch 5,Male,B8M5.txt,25.570,27.106,6.980,7.690,24.0830,25.9439,23.5957,25.3812,18.2436,19.5778,5.3521,5.8034,22.683,22.865,0.48722,0.56273,69.803,73.176
Batch 4,Female,B4_F_0.txt,26.496,30.659,8.477,11.890,25.2075,30.1213,24.6429,28.7065,15.1493,16.8745,9.4935,11.8320,38.524,41.217,0.56460,1.41471,66.603,118.983
Batch 4,Female,B4_F_1.txt,31.421,36.064,8.999,12.601,30.9633,36.4341,30.3748,34.9751,19.2253,21.1761,11.1495,13.7990,36.707,39.454,0.58847,1.45903,65.389,115.783
Batch 4,Female,B4_F_2.txt,24.238,28.499,8.590,12.061,22.0124,26.7612,21.3329,25.1962,14.9766,17.0611,6.3564,8.1351,29.796,32.287,0.67943,1.56495,79.093,129.752
Batch 4,Female,B4_F_3.txt,25.438,29.825,8.125,11.633,22.6787,27.5633,22.1173,26.1193,15.6981,17.6725,6.4192,8.4468,29.023,32.339,0.56147,1.44397,69.103,124.128
Batch 4,Female,B4_F_4.txt,27.156,31.524,8.743,12.183,24.9934,30.0888,24.3659,28.5731,17.0017,18.9042,7.3642,9.6690,30.223,33.839,0.62751,1.51561,71.776,124.407
Batch 4,Male,B4_M_0.txt,26.099,30.383,8.814,12.162,26.1148,30.9153,25.4344,29.5264,19.9778,22.3034,5.4566,7.2230,21.454,24.463,0.68046,1.38887,77.201,114.200
Batch 4,Male,B4_M_1.txt,27.292,32.374,8.251,11.976,27.7709,33.1014,27.1557,31.6430,21.0892,24.0863,6.0665,7.5568,22.340,23.881,0.61521,1.45840,74.563,121.776
Batch 4,Male,B4_M_2.txt,28.168,32.727,8.307,11.620,28.7643,34.1996,28.2355,32.8593,21.0193,23.4995,7.2161,9.3598,25.557,28.484,0.52881,1.34031,63.661,115.346
Batch 4,Male,B4_M_4.txt,27.393,32.319,7.752,11.536,26.7546,32.3820,26.2460,30.9912,20.5249,22.6765,5.7212,8.3147,21.798,26.829,0.50854,1.39078,65.603,120.564
Batch 3,Female,B3_F_0.txt,25.935,27.830,9.112,10.097,23.9827,25.9556,23.2816,25.1024,16.6372,17.6628,6.6444,7.4396,28.539,29.637,0.70110,0.85313,76.944,84.490
Batch 3,Female,B3_F_1.txt,26.191,28.564,8.357,9.633,21.8805,24.3701,21.2729,23.5705,15.9136,17.0106,5.3593,6.5599,25.193,27.831,0.60754,0.79964,72.698,83.008
Batch 3,Female,B3_F_2.txt,28.427,30.124,8.462,9.184,25.5606,27.2030,24.9803,26.5443,16.4215,17.2061,8.5588,9.3382,34.262,35.180,0.58028,0.65873,68.577,71.727
Batch 3,Female,B3_F_3.txt,26.259,28.733,8.959,10.368,24.6329,27.4751,23.9286,26.5266,16.8710,18.1069,7.0576,8.4197,29.494,31.741,0.70429,0.94851,78.613,91.488
Batch 3,Male,B3_M_0.txt,29.364,32.273,9.380,10.516,29.5048,32.5606,28.7680,31.6603,19.4795,21.0179,9.2886,10.6424,32.288,33.614,0.73672,0.90029,78.545,85.610
Batch 3,Male,B3_M_1.txt,31.131,34.236,8.784,10.290,29.6032,32.9519,28.9617,32.1021,22.1145,24.1944,6.8473,7.9077,23.642,24.633,0.64141,0.84979,73.021,82.587
Batch 3,Male,B3_M_2.txt,29.584,33.073,8.755,10.355,29.0756,32.8726,28.4877,32.0921,19.3251,21.5704,9.1627,10.5217,32.164,32.786,0.58785,0.78048,67.147,75.371
Batch 3,Male,B3_M_3.txt,24.316,27.399,7.109,8.420,20.9640,24.0295,20.4640,23.3490,15.0669,17.0652,5.3971,6.2838,26.374,26.912,0.50003,0.68055,70.341,80.827
Batch 3,Male,B3_M_4.txt,29.917,32.668,8.573,9.869,29.4143,32.4288,28.7765,31.5918,21.7282,23.1610,7.0483,8.4308,24.493,26.687,0.63775,0.83699,74.386,84.812
Batch 2,Female,B2_F_0.txt,27.736,29.971,8.836,9.948,25.0474,27.1984,24.3587,26.3638,16.4951,17.5472,7.8635,8.8165,32.282,33.442,0.68869,0.83464,77.942,83.900
Batch 2,Female,B2_F_1.txt,30.370,32.641,9.148,10.347,31.1340,33.5920,30.4848,32.7549,20.6420,21.6707,9.8428,11.0842,32.287,33.840,0.64926,0.83717,70.973,80.906
Batch 2,Female,B2_F_2.txt,29.205,31.574,9.193,10.411,28.0153,30.5018,27.3997,29.7226,17.1321,18.2799,10.2676,11.4427,37.474,38.498,0.61563,0.77923,66.971,74.844
Batch 2,Female,B2_F_4.txt,29.653,32.327,9.091,10.467,30.2763,33.1094,29.6181,32.2507,17.7406,18.9051,11.8775,13.3456,40.102,41.381,0.65813,0.85871,72.394,82.037
Batch 2,Male,B2_M_0.txt,29.018,32.241,9.564,11.354,29.9928,33.6346,29.1841,32.5479,22.9798,25.1828,6.2042,7.3650,21.259,22.628,0.80876,1.08673,84.563,95.717
Batch 2,Male,B2_M_1.txt,31.421,34.340,9.544,11.052,32.3164,35.5604,31.5440,34.5604,24.3881,26.1773,7.1559,8.3831,22.686,24.256,0.77243,1.00002,80.936,90.482
Batch 2,Male,B2_M_2.txt,29.901,32.738,8.198,9.640,31.0176,34.2940,30.4477,33.5171,21.9741,23.8324,8.4736,9.6847,27.830,28.895,0.56986,0.77687,69.512,80.591
Batch 2,Male,B2_M_3.txt,30.409,33.353,8.703,10.015,30.8093,33.9877,30.2116,33.2117,21.8501,23.8090,8.3616,9.4026,27.677,28.311,0.59763,0.77598,68.672,77.480
Batch 2,Male,B2_M_4.txt,28.142,31.037,8.676,10.162,28.4131,31.7375,27.7893,30.9014,21.6920,23.7581,6.0973,7.1434,21.941,23.117,0.62379,0.83608,71.903,82.277
