batch,sex,filename,inside_sample_area,whole_sample_area,inside_bone_area,whole_bone_area,inside_total_weight,whole_total_weight,inside_soft_weight,whole_soft_weight,inside_lean_weight,whole_lean_weight,inside_fat_weight,whole_fat_weight,inside_fat_percent,whole_fat_percent,inside_BMC,whole_BMC,inside_BMD,whole_BMD
Batch 1,,B1_M_2 Week 1 Redo.txt,23.071,33.309,10.238,12.859,23.7617,34.4093,22.9142,33.2978,13.8447,19.5697,9.0695,13.7281,39.580,41.228,0.84753,1.11155,82.785,86.440
Batch 5,Female,B8F0.txt,26.212,31.693,8.826,13.302,23.3461,29.4178,22.7211,27.5639,16.4107,18.4000,6.3104,9.1640,27.774,33.246,0.62497,1.85383,70.809,139.369
Batch 5,Female,B8F1.txt,29.719,35.691,10.065,15.050,32.5595,39.3758,31.7556,37.2721,19.7378,21.4890,12.0178,15.7831,37.845,42.346,0.80398,2.10368,79.875,139.776
Batch 5,Female,B8F2.txt,24.416,30.130,8.526,13.291,21.6130,27.4373,20.9897,25.5750,15.1849,17.5402,5.8048,8.0349,27.656,31.417,0.62328,1.86222,73.100,140.114
Batch 5,Female,B8F3.txt,30.175,35.953,9.615,14.261,31.8302,37.9845,31.2058,36.1423,17.1271,18.9167,14.0787,17.2256,45.116,47.660,0.62439,1.84216,64.938,129.178
Batch 5,Male,B8M0.txt,28.849,35.072,8.964,14.015,30.8714,37.5405,30.1787,35.5991,22.4812,24.4668,7.6974,11.1323,25.506,31.271,0.69275,1.94137,77.283,138.525
Batch 5,Male,B8M1.txt,29.871,36.305,8.379,13.290,33.4092,39.8175,32.8288,38.0991,25.6117,29.3019,7.2171,8.7971,21.984,23.090,0.58039,1.71842,69.264,129.299
Batch 5,Male,B8M2.txt,32.188,39.193,8.824,14.005,32.6131,38.8788,32.0303,37.1269,21.1179,23.4970,10.9124,13.6299,34.069,36.712,0.58284,1.75183,66.052,125.089
Batch 5,Male,B8M3.txt,25.653,31.798,7.514,12.201,24.1735,30.4664,23.6753,28.8190,17.2242,19.9191,6.4510,8.9000,27.248,30.882,0.49829,1.64735,66.318,135.018
Batch 5,Male,B8M4.txt,27.965,34.311,8.376,13.152,27.6899,34.0603,27.0907,32.3064,21.3545,24.2150,5.7362,8.0914,21.174,25.046,0.59922,1.75393,71.535,133.357
